distance_nm,block_time_h,revenue,total_cost,profit,profit_margin,profit_per_passenger,avg_fare,load_factor
740.0,2.394,6300.0,10084.72,-3784.72,-0.6007,-42.05,50,0.5
740.0,2.394,6930.0,10084.72,-3154.72,-0.4552,-31.87,50,0.55
740.0,2.394,7560.0,10084.72,-2524.72,-0.334,-23.38,50,0.6000000000000001
740.0,2.394,8190.0,10084.72,-1894.72,-0.2313,-16.19,50,0.6500000000000001
740.0,2.394,8820.0,10084.72,-1264.72,-0.1434,-10.04,50,0.7000000000000002
740.0,2.394,9450.0,10084.72,-634.72,-0.0672,-4.7,50,0.7500000000000002
740.0,2.394,10080.0,10084.72,-4.72,-0.0005,-0.03,50,0.8000000000000003
740.0,2.394,10710.0,10084.72,625.28,0.0584,4.09,50,0.8500000000000003
740.0,2.394,11340.0,10084.72,1255.28,0.1107,7.75,50,0.9000000000000004
740.0,2.394,11970.0,10084.72,1885.28,0.1575,11.03,50,0.9500000000000004
740.0,2.394,8100.0,10084.72,-1984.72,-0.245,-22.05,70,0.5
740.0,2.394,8910.0,10084.72,-1174.72,-0.1318,-11.87,70,0.55
740.0,2.394,9720.0,10084.72,-364.72,-0.0375,-3.38,70,0.6000000000000001
740.0,2.394,10530.0,10084.72,445.28,0.0423,3.81,70,0.6500000000000001
740.0,2.394,11340.0,10084.72,1255.28,0.1107,9.96,70,0.7000000000000002
740.0,2.394,12150.0,10084.72,2065.28,0.17,15.3,70,0.7500000000000002
740.0,2.394,12960.0,10084.72,2875.28,0.2219,19.97,70,0.8000000000000003
740.0,2.394,13770.0,10084.72,3685.28,0.2676,24.09,70,0.8500000000000003
740.0,2.394,14580.0,10084.72,4495.28,0.3083,27.75,70,0.9000000000000004
740.0,2.394,15390.0,10084.72,5305.28,0.3447,31.03,70,0.9500000000000004
740.0,2.394,9900.0,10084.72,-184.72,-0.0187,-2.05,90,0.5
740.0,2.394,10890.0,10084.72,805.28,0.0739,8.13,90,0.55
740.0,2.394,11880.0,10084.72,1795.28,0.1511,16.62,90,0.6000000000000001
740.0,2.394,12870.0,10084.72,2785.28,0.2164,23.81,90,0.6500000000000001
740.0,2.394,13860.0,10084.72,3775.28,0.2724,29.96,90,0.7000000000000002
740.0,2.394,14850.0,10084.72,4765.28,0.3209,35.3,90,0.7500000000000002
740.0,2.394,15840.0,10084.72,5755.28,0.3633,39.97,90,0.8000000000000003
740.0,2.394,16830.0,10084.72,6745.28,0.4008,44.09,90,0.8500000000000003
740.0,2.394,17820.0,10084.72,7735.28,0.4341,47.75,90,0.9000000000000004
740.0,2.394,18810.0,10084.72,8725.28,0.4639,51.03,90,0.9500000000000004
740.0,2.394,11700.0,10084.72,1615.28,0.1381,17.95,110,0.5
740.0,2.394,12870.0,10084.72,2785.28,0.2164,28.13,110,0.55
740.0,2.394,14040.0,10084.72,3955.28,0.2817,36.62,110,0.6000000000000001
740.0,2.394,15210.0,10084.72,5125.28,0.337,43.81,110,0.6500000000000001
740.0,2.394,16380.0,10084.72,6295.28,0.3843,49.96,110,0.7000000000000002
740.0,2.394,17550.0,10084.72,7465.28,0.4254,55.3,110,0.7500000000000002
740.0,2.394,18720.0,10084.72,8635.28,0.4613,59.97,110,0.8000000000000003
740.0,2.394,19890.0,10084.72,9805.28,0.493,64.09,110,0.8500000000000003
740.0,2.394,21060.0,10084.72,10975.28,0.5211,67.75,110,0.9000000000000004
740.0,2.394,22230.0,10084.72,12145.28,0.5463,71.03,110,0.9500000000000004
740.0,2.394,13500.0,10084.72,3415.28,0.253,37.95,130,0.5
740.0,2.394,14850.0,10084.72,4765.28,0.3209,48.13,130,0.55
740.0,2.394,16200.0,10084.72,6115.28,0.3775,56.62,130,0.6000000000000001
740.0,2.394,17550.0,10084.72,7465.28,0.4254,63.81,130,0.6500000000000001
740.0,2.394,18900.0,10084.72,8815.28,0.4664,69.96,130,0.7000000000000002
740.0,2.394,20250.0,10084.72,10165.28,0.502,75.3,130,0.7500000000000002
740.0,2.394,21600.0,10084.72,11515.28,0.5331,79.97,130,0.8000000000000003
740.0,2.394,22950.0,10084.72,12865.28,0.5606,84.09,130,0.8500000000000003
740.0,2.394,24300.0,10084.72,14215.28,0.585,87.75,130,0.9000000000000004
740.0,2.394,25650.0,10084.72,15565.28,0.6068,91.03,130,0.9500000000000004
740.0,2.394,15300.0,10084.72,5215.28,0.3409,57.95,150,0.5
740.0,2.394,16830.0,10084.72,6745.28,0.4008,68.13,150,0.55
740.0,2.394,18360.0,10084.72,8275.28,0.4507,76.62,150,0.6000000000000001
740.0,2.394,19890.0,10084.72,9805.28,0.493,83.81,150,0.6500000000000001
740.0,2.394,21420.0,10084.72,11335.28,0.5292,89.96,150,0.7000000000000002
740.0,2.394,22950.0,10084.72,12865.28,0.5606,95.3,150,0.7500000000000002
740.0,2.394,24480.0,10084.72,14395.28,0.588,99.97,150,0.8000000000000003
740.0,2.394,26010.0,10084.72,15925.28,0.6123,104.09,150,0.8500000000000003
740.0,2.394,27540.0,10084.72,17455.28,0.6338,107.75,150,0.9000000000000004
740.0,2.394,29070.0,10084.72,18985.28,0.6531,111.03,150,0.9500000000000004
740.0,2.394,17100.0,10084.72,7015.28,0.4103,77.95,170,0.5
740.0,2.394,18810.0,10084.72,8725.28,0.4639,88.13,170,0.55
740.0,2.394,20520.0,10084.72,10435.28,0.5085,96.62,170,0.6000000000000001
740.0,2.394,22230.0,10084.72,12145.28,0.5463,103.81,170,0.6500000000000001
740.0,2.394,23940.0,10084.72,13855.28,0.5788,109.96,170,0.7000000000000002
740.0,2.394,25650.0,10084.72,15565.28,0.6068,115.3,170,0.7500000000000002
740.0,2.394,27360.0,10084.72,17275.28,0.6314,119.97,170,0.8000000000000003
740.0,2.394,29070.0,10084.72,18985.28,0.6531,124.09,170,0.8500000000000003
740.0,2.394,30780.0,10084.72,20695.28,0.6724,127.75,170,0.9000000000000004
740.0,2.394,32490.0,10084.72,22405.28,0.6896,131.03,170,0.9500000000000004
740.0,2.394,18900.0,10084.72,8815.28,0.4664,97.95,190,0.5
740.0,2.394,20790.0,10084.72,10705.28,0.5149,108.13,190,0.55
740.0,2.394,22680.0,10084.72,12595.28,0.5553,116.62,190,0.6000000000000001
