distance_nm,block_time_h,revenue,total_cost,profit,profit_margin,profit_per_passenger,avg_fare,load_factor
338.0,1.518,5670.0,7518.36,-1848.36,-0.326,-22.82,50,0.5
338.0,1.518,6237.0,7518.36,-1281.36,-0.2054,-14.38,50,0.55
338.0,1.518,6804.0,7518.36,-714.36,-0.105,-7.35,50,0.6000000000000001
338.0,1.518,7371.0,7518.36,-147.36,-0.02,-1.4,50,0.6500000000000001
338.0,1.518,7938.0,7518.36,419.64,0.0529,3.7,50,0.7000000000000002
338.0,1.518,8505.0,7518.36,986.64,0.116,8.12,50,0.7500000000000002
338.0,1.518,9072.0,7518.36,1553.64,0.1713,11.99,50,0.8000000000000003
338.0,1.518,9639.0,7518.36,2120.64,0.22,15.4,50,0.8500000000000003
338.0,1.518,10206.0,7518.36,2687.64,0.2633,18.43,50,0.9000000000000004
338.0,1.518,10773.0,7518.36,3254.64,0.3021,21.15,50,0.9500000000000004
338.0,1.518,7290.0,7518.36,-228.36,-0.0313,-2.82,70,0.5
338.0,1.518,8019.0,7518.36,500.64,0.0624,5.62,70,0.55
338.0,1.518,8748.0,7518.36,1229.64,0.1406,12.65,70,0.6000000000000001
338.0,1.518,9477.0,7518.36,1958.64,0.2067,18.6,70,0.6500000000000001
338.0,1.518,10206.0,7518.36,2687.64,0.2633,23.7,70,0.7000000000000002
338.0,1.518,10935.0,7518.36,3416.64,0.3124,28.12,70,0.7500000000000002
338.0,1.518,11664.0,7518.36,4145.64,0.3554,31.99,70,0.8000000000000003
338.0,1.518,12393.0,7518.36,4874.64,0.3933,35.4,70,0.8500000000000003
338.0,1.518,13122.0,7518.36,5603.64,0.427,38.43,70,0.9000000000000004
338.0,1.518,13851.0,7518.36,6332.64,0.4572,41.15,70,0.9500000000000004
338.0,1.518,8910.0,7518.36,1391.64,0.1562,17.18,90,0.5
338.0,1.518,9801.0,7518.36,2282.64,0.2329,25.62,90,0.55
338.0,1.518,10692.0,7518.36,3173.64,0.2968,32.65,90,0.6000000000000001
338.0,1.518,11583.0,7518.36,4064.64,0.3509,38.6,90,0.6500000000000001
338.0,1.518,12474.0,7518.36,4955.64,0.3973,43.7,90,0.7000000000000002
338.0,1.518,13365.0,7518.36,5846.64,0.4375,48.12,90,0.7500000000000002
338.0,1.518,14256.0,7518.36,6737.64,0.4726,51.99,90,0.8000000000000003
338.0,1.518,15147.0,7518.36,7628.64,0.5036,55.4,90,0.8500000000000003
338.0,1.518,16038.0,7518.36,8519.64,0.5312,58.43,90,0.9000000000000004
338.0,1.518,16929.0,7518.36,9410.64,0.5559,61.15,90,0.9500000000000004
338.0,1.518,10530.0,7518.36,3011.64,0.286,37.18,110,0.5
338.0,1.518,11583.0,7518.36,4064.64,0.3509,45.62,110,0.55
338.0,1.518,12636.0,7518.36,5117.64,0.405,52.65,110,0.6000000000000001
338.0,1.518,13689.0,7518.36,6170.64,0.4508,58.6,110,0.6500000000000001
338.0,1.518,14742.0,7518.36,7223.64,0.49,63.7,110,0.7000000000000002
338.0,1.518,15795.0,7518.36,8276.64,0.524,68.12,110,0.7500000000000002
338.0,1.518,16848.0,7518.36,9329.64,0.5538,71.99,110,0.8000000000000003
338.0,1.518,17901.0,7518.36,10382.64,0.58,75.4,110,0.8500000000000003
338.0,1.518,18954.0,7518.36,11435.64,0.6033,78.43,110,0.9000000000000004
338.0,1.518,20007.0,7518.36,12488.64,0.6242,81.15,110,0.9500000000000004
338.0,1.518,12150.0,7518.36,4631.64,0.3812,57.18,130,0.5
338.0,1.518,13365.0,7518.36,5846.64,0.4375,65.62,130,0.55
338.0,1.518,14580.0,7518.36,7061.64,0.4843,72.65,130,0.6000000000000001
338.0,1.518,15795.0,7518.36,8276.64,0.524,78.6,130,0.6500000000000001
338.0,1.518,17010.0,7518.36,9491.64,0.558,83.7,130,0.7000000000000002
338.0,1.518,18225.0,7518.36,10706.64,0.5875,88.12,130,0.7500000000000002
338.0,1.518,19440.0,7518.36,11921.64,0.6133,91.99,130,0.8000000000000003
338.0,1.518,20655.0,7518.36,13136.64,0.636,95.4,130,0.8500000000000003
338.0,1.518,21870.0,7518.36,14351.64,0.6562,98.43,130,0.9000000000000004
338.0,1.518,23085.0,7518.36,15566.64,0.6743,101.15,130,0.9500000000000004
338.0,1.518,13770.0,7518.36,6251.64,0.454,77.18,150,0.5
338.0,1.518,15147.0,7518.36,7628.64,0.5036,85.62,150,0.55
338.0,1.518,16524.0,7518.36,9005.64,0.545,92.65,150,0.6000000000000001
338.0,1.518,17901.0,7518.36,10382.64,0.58,98.6,150,0.6500000000000001
338.0,1.518,19278.0,7518.36,11759.64,0.61,103.7,150,0.7000000000000002
338.0,1.518,20655.0,7518.36,13136.64,0.636,108.12,150,0.7500000000000002
338.0,1.518,22032.0,7518.36,14513.64,0.6588,111.99,150,0.8000000000000003
338.0,1.518,23409.0,7518.36,15890.64,0.6788,115.4,150,0.8500000000000003
338.0,1.518,24786.0,7518.36,17267.64,0.6967,118.43,150,0.9000000000000004
338.0,1.518,26163.0,7518.36,18644.64,0.7126,121.15,150,0.9500000000000004
338.0,1.518,15390.0,7518.36,7871.64,0.5115,97.18,170,0.5
338.0,1.518,16929.0,7518.36,9410.64,0.5559,105.62,170,0.55
338.0,1.518,18468.0,7518.36,10949.64,0.5929,112.65,170,0.6000000000000001
338.0,1.518,20007.0,7518.36,12488.64,0.6242,118.6,170,0.6500000000000001
338.0,1.518,21546.0,7518.36,14027.64,0.6511,123.7,170,0.7000000000000002
338.0,1.518,23085.0,7518.36,15566.64,0.6743,128.12,170,0.7500000000000002
338.0,1.518,24624.0,7518.36,17105.64,0.6947,131.99,170,0.8000000000000003
338.0,1.518,26163.0,7518.36,18644.64,0.7126,135.4,170,0.8500000000000003
338.0,1.518,27702.0,7518.36,20183.64,0.7286,138.43,170,0.9000000000000004
338.0,1.518,29241.0,7518.36,21722.64,0.7429,141.15,170,0.9500000000000004
338.0,1.518,17010.0,7518.36,9491.64,0.558,117.18,190,0.5
338.0,1.518,18711.0,7518.36,11192.64,0.5982,125.62,190,0.55
338.0,1.518,20412.0,7518.36,12893.64,0.6317,132.65,190,0.6000000000000001
338.0,1.518,22113.0,7518.36,14594.64,0.66,138.6,190,0.6500000000000001
338.0,1.518,23814.0,7518.36,16295.64,0.6843,143.7,190,0.7000000000000002
338.0,1.518,25515.0,7518.36,17996.64,0.7053,148.12,190,0.7500000000000002
338.0,1.518,27216.0,7518.36,19697.64,0.7238,151.99,190,0.8000000000000003
338.0,1.518,28917.0,7518.36,21398.64,0.74,155.4,190,0.8500000000000003
338.0,1.518,30618.0,7518.36,23099.64,0.7544,158.43,190,0.9000000000000004
338.0,1.518,32319.0,7518.36,24800.64,0.7674,161.15,190,0.9500000000000004
338.0,1.518,18630.0,7518.36,11111.64,0.5964,137.18,210,0.5
338.0,1.518,20493.0,7518.36,12974.64,0.6331,145.62,210,0.55
338.0,1.518,22356.0,7518.36,14837.64,0.6637,152.65,210,0.6000000000000001
338.0,1.518,24219.0,7518.36,16700.64,0.6896,158.6,210,0.6500000000000001
338.0,1.518,26082.0,7518.36,18563.64,0.7117,163.7,210,0.7000000000000002
338.0,1.518,27945.0,7518.36,20426.64,0.731,168.12,210,0.7500000000000002
338.0,1.518,29808.0,7518.36,22289.64,0.7478,171.99,210,0.8000000000000003
338.0,1.518,31671.0,7518.36,24152.64,0.7626,175.4,210,0.8500000000000003
338.0,1.518,33534.0,7518.36,26015.64,0.7758,178.43,210,0.9000000000000004
338.0,1.518,35397.0,7518.36,27878.64,0.7876,181.15,210,0.9500000000000004
338.0,1.518,20250.0,7518.36,12731.64,0.6287,157.18,230,0.5
338.0,1.518,22275.0,7518.36,14756.64,0.6625,165.62,230,0.55
338.0,1.518,24300.0,7518.36,16781.64,0.6906,172.65,230,0.6000000000000001
338.0,1.518,26325.0,7518.36,18806.64,0.7144,178.6,230,0.6500000000000001
338.0,1.518,28350.0,7518.36,20831.64,0.7348,183.7,230,0.7000000000000002
338.0,1.518,30375.0,7518.36,22856.64,0.7525,188.12,230,0.7500000000000002
338.0,1.518,32400.0,7518.36,24881.64,0.768,191.99,230,0.8000000000000003
338.0,1.518,34425.0,7518.36,26906.64,0.7816,195.4,230,0.8500000000000003
338.0,1.518,36450.0,7518.36,28931.64,0.7937,198.43,230,0.9000000000000004
338.0,1.518,38475.0,7518.36,30956.64,0.8046,201.15,230,0.9500000000000004
338.0,1.518,21870.0,7518.36,14351.64,0.6562,177.18,250,0.5
338.0,1.518,24057.0,7518.36,16538.64,0.6875,185.62,250,0.55
338.0,1.518,26244.0,7518.36,18725.64,0.7135,192.65,250,0.6000000000000001
338.0,1.518,28431.0,7518.36,20912.64,0.7356,198.6,250,0.6500000000000001
338.0,1.518,30618.0,7518.36,23099.64,0.7544,203.7,250,0.7000000000000002
338.0,1.518,32805.0,7518.36,25286.64,0.7708,208.12,250,0.7500000000000002
338.0,1.518,34992.0,7518.36,27473.64,0.7851,211.99,250,0.8000000000000003
338.0,1.518,37179.0,7518.36,29660.64,0.7978,215.4,250,0.8500000000000003
338.0,1.518,39366.0,7518.36,31847.64,0.809,218.43,250,0.9000000000000004
338.0,1.518,41553.0,7518.36,34034.64,0.8191,221.15,250,0.9500000000000004
338.0,1.518,23490.0,7518.36,15971.64,0.6799,197.18,270,0.5
338.0,1.518,25839.0,7518.36,18320.64,0.709,205.62,270,0.55
338.0,1.518,28188.0,7518.36,20669.64,0.7333,212.65,270,0.6000000000000001
338.0,1.518,30537.0,7518.36,23018.64,0.7538,218.6,270,0.6500000000000001
338.0,1.518,32886.0,7518.36,25367.64,0.7714,223.7,270,0.7000000000000002
338.0,1.518,35235.0,7518.36,27716.64,0.7866,228.12,270,0.7500000000000002
338.0,1.518,37584.0,7518.36,30065.64,0.8,231.99,270,0.8000000000000003
338.0,1.518,39933.0,7518.36,32414.64,0.8117,235.4,270,0.8500000000000003
338.0,1.518,42282.0,7518.36,34763.64,0.8222,238.43,270,0.9000000000000004
338.0,1.518,44631.0,7518.36,37112.64,0.8315,241.15,270,0.9500000000000004
338.0,1.518,25110.0,7518.36,17591.64,0.7006,217.18,290,0.5
